ID	LINK
SLKA_250.48	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25048_AE97CE43.pnach
SLKA_250.55	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25055_81D0BA2B.pnach
SLKA_250.56	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25056_828024B7.pnach
SLKA_250.59	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25059_3CA4D49.pnach
SLKA_250.62	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25062_C2B6BDCC.pnach
SLKA_250.63	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25063_E3795E39.pnach
SLKA_250.72	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25072_91F5D064.pnach
SLKA_250.76	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25076_84D1A8DA.pnach
SLKA_250.80	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25080_E2A9676A.pnach
SLKA_250.82	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25082_9A93FE5D.pnach
SLKA_250.91	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25091_3750F7C7.pnach
SLKA_250.92	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25092_316527D2.pnach
SLKA_250.98	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25098_CB0E0788.pnach
SLKA_250.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25099_C4FBEC7B.pnach
SLKA_251.02	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25102_E600953D.pnach
SLKA_251.05	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25105_EB328633.pnach
SLKA_251.07	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25107_6178158D.pnach
SLKA_251.10	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25110_0167915E.pnach
SLKA_251.21	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25121_97A4995B.pnach
SLKA_251.26	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25126_A72F7A17.pnach
SLKA_251.29	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25129_4A5539CF.pnach
SLKA_251.31	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25131_81B3598B.pnach
SLKA_251.37	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25137_8D9CBC4B.pnach
SLKA_251.38	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25138_B07FF0E6.pnach
SLKA_251.45	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25145_783DE9A6.pnach
SLKA_251.46	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25146_D285B3DF.pnach
SLKA_251.50	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25150_66927E5B.pnach
SLKA_251.52	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25152_66DADE18.pnach
SLKA_251.55	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25155_B9545AD0.pnach
SLKA_251.56	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25156_B7ADE017.pnach
SLKA_251.60	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25160_D3FFC263.pnach
SLKA_251.66	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25166_75326E04.pnach
SLKA_251.70	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25170_819DDCF8.pnach
SLKA_251.74	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25174_367B2A15.pnach
SLKA_251.80	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25180_002C5D88.pnach
SLKA_251.98	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25198_0D73BBCD.pnach
SLKA_251.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25199_C45E77F4.pnach
SLKA_252.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25201_1102F889.pnach
SLKA_252.02	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25202_1102F889.pnach
SLKA_252.04	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25204_36416C48.pnach
SLKA_252.08	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25208_0326AE0E.pnach
SLKA_252.10	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25210_7A7E708C.pnach
SLKA_252.11	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25211_589A6B75.pnach
SLKA_252.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25213_DF3FEFA9.pnach
SLKA_252.18	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25218_A7B09415.pnach
